Element1,Element2,Element3,Element4,afm,lat,sws0,sws_init,mag,B0,TC
Al,Cd,Co,Ag,0,0,2.9981842,2.9897622515480835,0.193724518134,110.00871,243.259548
Al,Cd,Co,As,0,1,2.998086,3.055399956042477,0.031818154195,80.810165,65.6157364
Al,Cd,Co,Au,0,1,3.0036626,2.988514718605317,0.17111110526155,116.060036,218.279628
Al,Cd,Co,Bi,0,0,3.3364162,3.2434641184779136,0.40689486,81.87063,199.119112
Al,Cd,Co,Cu,1,1,2.8726826,2.908882581298585,0.002046828049,100.50368,77.49820296000001
Al,Cd,Co,Ge,0,1,3.0497832,3.071552945545699,0.019574594635,75.30223,64.2420836
Al,Cd,Co,Hg,0,1,3.0732694,3.082149707002548,0.2224236345,74.97982,224.349188
Al,Cd,Co,Ir,0,1,2.9828854,2.945566477347044,0.08272880784,79.26061,106.08838
Al,Cd,Co,Mo,1,0,2.9395585,2.9675757770391287,0.001199118205,129.41556,43.46252928
Al,Cd,Co,Ni,0,1,2.901524,2.8950908061178766,0.0131127183184,120.7778,54.2031796
Al,Cd,Co,Os,0,0,3.009262,2.9434323062585634,0.197304979075,77.462135,211.635972
Al,Cd,Co,Pb,0,0,3.1513283,3.177277569728834,0.346364991,79.33366,245.66506400000003
Al,Cd,Co,Pd,0,1,2.9453592,2.9546598451143384,0.0339457825,121.05388,159.22763600000002
Al,Cd,Co,Pt,0,1,2.9455416,2.960139993513059,0.19940116102731,137.08058,264.930474
Al,Cd,Co,Re,0,0,2.887633,2.9541745744390844,0.01607844668278,173.75551,58.1652636
Al,Cd,Co,Rh,0,0,2.9205031,2.9395933000232723,0.23922006347,157.6344,278.36846
Al,Cd,Co,Ru,1,1,2.9013767,2.936649288739716,0.00713279817,136.01826,91.70608
Al,Cd,Co,Sb,0,1,3.3004234,3.175952019367549,0.0804137405,81.83192,79.556046
Al,Cd,Co,Si,0,1,3.0055447,3.033997001228744,0.025805318364,98.998726,41.4773336
Al,Cd,Co,Sn,0,1,3.1314745,3.133163841628128,0.0809657466,79.468025,67.63667240000001
Al,Cd,Co,Tc,0,0,2.9896636,2.948415785258549,0.0246601742,81.80025,97.0075308
Al,Cd,Co,Te,0,1,3.3394122,3.22492196021249,0.185472113,70.02089,140.2897368
Al,Cd,Co,W,1,0,2.9424047,2.971721571132672,0.000656078915,141.01859,31.301711760000003
Al,Cd,Cu,Ni,1,1,2.8858545,2.906351122006766,0.00265573050092,103.19812,2.4639878816
Al,Cd,Fe,Ag,0,1,3.008289,2.99982911814891,0.2750944,96.31932,413.75878
Al,Cd,Fe,As,0,1,3.0244474,3.0650409837087267,0.219901602,75.79165,260.545464
Al,Cd,Fe,Au,0,1,2.9829125,2.998589949323432,0.462843743,116.881165,488.302132
Al,Cd,Fe,Bi,0,0,3.3523169,3.252023951265937,0.6858997699999999,81.67491,406.431764
Al,Cd,Fe,Co,0,1,2.9204245,2.908355557293483,0.335494903,111.80939,678.2543320000001
Al,Cd,Fe,Cu,0,1,2.9515436,2.919513980917008,0.04284582064,101.295944,240.06111
Al,Cd,Fe,Ge,0,1,3.1491575,3.081093307925077,0.443065993,67.6948,459.9848500000001
Al,Cd,Fe,Hg,0,1,3.1053805,3.091624881844298,0.597441387,71.5856,492.17714
Al,Cd,Fe,Ir,0,0,2.9893975,2.955936112117016,0.635707608,77.44294,512.64074
Al,Cd,Fe,Mo,0,0,2.94811,2.977792958197424,0.0434820474,125.74887,194.937584
Al,Cd,Fe,Ni,0,1,2.9286044,2.905823179265838,0.083081495,120.70328,184.930984
Al,Cd,Fe,Os,0,0,3.012391,2.9538169045313043,0.423621517,77.51322,433.519044
Al,Cd,Fe,Pb,0,0,3.1716855,3.1861962440310947,0.642679724,77.92874,470.288892
Al,Cd,Fe,Pd,0,1,2.9478803,2.964966082587112,0.0533874379,114.90129,247.666824
Al,Cd,Fe,Pt,0,1,2.8850858,2.9704083037887674,0.495277966,123.91533,524.11134
Al,Cd,Fe,Re,0,0,2.9074888,2.964484180477948,0.324440341,157.0189,334.848676
Al,Cd,Fe,Rh,0,0,2.8406234,2.95000489642636,0.3310345,172.4231,484.954292
Al,Cd,Fe,Ru,0,1,2.9332733,2.9470816602866945,0.0724504645,133.07938,224.6939808
Al,Cd,Fe,Sb,0,1,3.3137374,3.1848781087474403,0.5159028400000001,79.38052,394.11453000000006
Al,Cd,Fe,Si,0,1,3.003603,3.0437738768216307,0.167058243,92.98439,248.088392
Al,Cd,Fe,Sn,0,1,3.1611671,3.142334328376774,0.534344103,78.86953,435.37166400000007
Al,Cd,Fe,Tc,0,0,2.9918563,2.958765492609053,0.149294708,79.561874,337.240992
Al,Cd,Fe,Te,0,1,3.3415875,3.233580112982381,0.4618274879999999,68.81375,327.54739600000005
Al,Cd,Fe,W,0,0,2.9295802,2.981910410516256,0.198985272,143.40309,278.746332
